start,end,q,old_bound,c_bound,old_margin,shell,shell_margin,combined_margin,total_base_candidates,total_critical_roots,total_candidates,shell_base_candidates,shell_midpoint_candidates,shell_total_candidates,shell_monotonicity_certificate
1100000,1110000,0.95,1.588934320531358,2.179908424891784,0.481978683115837,0.2129946734418478,-0.012994673441847793,0.46898400967398923,46652,0,46652,10001,0,10001,piecewise decreasing between activation/floor endpoints
1110000,1120000,0.95,1.5021245764023754,1.8084976470656235,0.21594818830996698,0.19621424259302536,0.003785757406974649,0.21973394571694163,47039,0,47039,10001,0,10001,piecewise decreasing between activation/floor endpoints
1120000,1130000,0.95,1.2117039777363854,1.689149650969986,0.39298819068510116,0.18105875793004372,0.018941242069956288,0.41192943275505745,47187,0,47187,10001,0,10001,piecewise decreasing between activation/floor endpoints
1130000,1140000,0.95,1.458650203760242,1.7501258530984274,0.20396935668326388,0.18650545447250597,0.013494545527494045,0.21746390221075793,47256,0,47256,10001,0,10001,piecewise decreasing between activation/floor endpoints
1140000,1150000,0.95,1.2404572707011328,1.733655711174255,0.40651565491440933,0.16254871571621252,0.037451284283787495,0.44396693919819685,47514,0,47514,10001,0,10001,piecewise decreasing between activation/floor endpoints
1150000,1160000,0.95,1.2862746653780324,1.4903489455509022,0.12955683289532471,0.15248162382294095,0.04751837617705906,0.17707520907238378,47614,0,47614,10001,0,10001,piecewise decreasing between activation/floor endpoints
1160000,1170000,0.95,1.675329743171275,2.011253602163183,0.23536117888374863,0.20231962223035976,-0.0023196222303597525,0.23304155665338888,47693,0,47693,10001,0,10001,piecewise decreasing between activation/floor endpoints
1170000,1180000,0.95,1.5266387791117138,2.1233797707916686,0.4905720031403715,0.21467429338790064,-0.014674293387900633,0.4758977097524709,47787,0,47787,10001,0,10001,piecewise decreasing between activation/floor endpoints
1180000,1190000,0.95,1.224464079355011,1.5482977890792957,0.24641882027031992,0.1768709139207347,0.02312908607926531,0.26954790634958525,48104,0,48104,10001,0,10001,piecewise decreasing between activation/floor endpoints
1190000,1200000,0.95,1.4298149358611687,1.6651067108421485,0.15203643943887224,0.19058312642211808,0.009416873577881929,0.16145331301675417,48112,0,48112,10001,0,10001,piecewise decreasing between activation/floor endpoints
1200000,1210000,0.95,1.3256357487064299,1.8891800374402155,0.46908528686177475,0.17782751443138634,0.022172485568613676,0.49125777243038843,48292,0,48292,10001,0,10001,piecewise decreasing between activation/floor endpoints
1210000,1220000,0.95,1.0562610638569814,1.3543273507288764,0.23034991933545124,0.14583364743743535,0.05416635256256466,0.28451627189801587,48357,0,48357,10001,0,10001,piecewise decreasing between activation/floor endpoints
1220000,1230000,0.95,1.19840700176173,1.3561670889915385,0.0899517327802315,0.1658611188469756,0.03413888115302441,0.1240906139332559,48605,0,48605,10001,0,10001,piecewise decreasing between activation/floor endpoints
1230000,1240000,0.95,1.659031664272868,2.072574246442753,0.30991386984774705,0.22763985348092128,-0.027639853480921267,0.2822740163668258,48727,0,48727,10001,0,10001,piecewise decreasing between activation/floor endpoints
1240000,1250000,0.95,1.3438835894817758,1.617496187690314,0.19273778882402248,0.1841514512444207,0.01584854875557931,0.2085863375796018,48889,0,48889,10001,0,10001,piecewise decreasing between activation/floor endpoints
1250000,1260000,0.95,1.223901761200618,1.5589240956027013,0.25707612962194815,0.15335650938812154,0.046643490611878474,0.3037196202338266,49191,0,49191,10001,0,10001,piecewise decreasing between activation/floor endpoints
1260000,1270000,0.95,1.2296806077150007,1.543169501530966,0.23633041873941707,0.16968023757722275,0.030319762422777258,0.2666501811621943,49189,0,49189,10001,0,10001,piecewise decreasing between activation/floor endpoints
1270000,1280000,0.95,1.4759535898210996,1.9332610171002427,0.36064437642413094,0.19159583351251186,0.008404166487488152,0.3690485429116191,49457,0,49457,10001,0,10001,piecewise decreasing between activation/floor endpoints
1280000,1290000,0.95,1.2325693148498844,1.5156365407379497,0.2072853988511678,0.15518611797029025,0.04481388202970976,0.2520992808808776,49574,0,49574,10001,0,10001,piecewise decreasing between activation/floor endpoints
1290000,1300000,0.95,1.1076608125900125,1.4211616649888437,0.2424427691493889,0.14502281626101887,0.05497718373898114,0.29741995288837003,49591,0,49591,10001,0,10001,piecewise decreasing between activation/floor endpoints
1300000,1310000,0.95,1.1936170135509183,1.5967162952397915,0.32326346692688346,0.1719357133942041,0.028064286605795907,0.35132775353267937,49607,0,49607,10001,0,10001,piecewise decreasing between activation/floor endpoints
1310000,1320000,0.95,1.2438379635717447,1.6111194048753203,0.2867254710598095,0.1657534016567055,0.03424659834329452,0.320972069403104,49669,0,49669,10001,0,10001,piecewise decreasing between activation/floor endpoints
1320000,1330000,0.95,1.1260281308909919,1.428427617885224,0.23097810609997094,0.17028793314064117,0.029712066859358843,0.2606901729593298,49857,0,49857,10001,0,10001,piecewise decreasing between activation/floor endpoints
1330000,1340000,0.95,1.5538579005093414,2.119766542757813,0.45992031511058085,0.20039603504304948,-0.0003960350430494697,0.4595242800675314,49933,0,49933,10001,0,10001,piecewise decreasing between activation/floor endpoints
1340000,1350000,0.95,0.9510157197768941,1.2737505413166426,0.2590472944739163,0.13188766674586824,0.06811233325413177,0.3271596277280481,49892,0,49892,10001,0,10001,piecewise decreasing between activation/floor endpoints
