# sieving primes up to 2251500
# loaded 166169 primes up to 2251500
# P	|E(P)|	P-1	|E|/P	|E|*logP/P	max_row	row_mean
1187	0	1186	0.0000	0.0000	156	90.6728
1193	0	1192	0.0000	0.0000	158	91.0344
1201	0	1200	0.0000	0.0000	160	91.5808
1213	0	1212	0.0000	0.0000	162	92.3531
1217	0	1216	0.0000	0.0000	161	92.6234
1223	0	1222	0.0000	0.0000	162	93.0213
1229	0	1228	0.0000	0.0000	162	93.4226
1231	0	1230	0.0000	0.0000	162	93.5472
1237	0	1236	0.0000	0.0000	163	93.9231
1249	0	1248	0.0000	0.0000	163	94.6891
1259	0	1258	0.0000	0.0000	163	95.3148
1277	0	1276	0.0000	0.0000	168	96.4694
1279	0	1278	0.0000	0.0000	168	96.6088
1283	0	1282	0.0000	0.0000	167	96.8456
1289	0	1288	0.0000	0.0000	166	97.2259
1291	0	1290	0.0000	0.0000	166	97.3535
1297	0	1296	0.0000	0.0000	167	97.7577
1301	0	1300	0.0000	0.0000	166	98.0000
1303	0	1302	0.0000	0.0000	165	98.1298
1307	0	1306	0.0000	0.0000	165	98.3913
1319	0	1318	0.0000	0.0000	167	99.1419
1321	0	1320	0.0000	0.0000	166	99.2606
1327	0	1326	0.0000	0.0000	166	99.6493
1361	0	1360	0.0000	0.0000	179	101.8316
1367	0	1366	0.0000	0.0000	180	102.2343
1373	0	1372	0.0000	0.0000	180	102.6050
1381	0	1380	0.0000	0.0000	181	103.1072
1399	0	1398	0.0000	0.0000	185	104.2783
1409	0	1408	0.0000	0.0000	186	104.8878
1423	0	1422	0.0000	0.0000	189	105.7968
1427	0	1426	0.0000	0.0000	189	106.0575
1429	0	1428	0.0000	0.0000	189	106.1751
1433	0	1432	0.0000	0.0000	189	106.4183
1439	0	1438	0.0000	0.0000	188	106.8095
1447	0	1446	0.0000	0.0000	189	107.3064
1451	0	1450	0.0000	0.0000	189	107.5552
1453	0	1452	0.0000	0.0000	189	107.6846
1459	0	1458	0.0000	0.0000	190	108.0617
1471	0	1470	0.0000	0.0000	191	108.8374
1481	0	1480	0.0000	0.0000	192	109.4574
1483	0	1482	0.0000	0.0000	192	109.5729
1487	0	1486	0.0000	0.0000	193	109.8351
1489	0	1488	0.0000	0.0000	192	109.9483
1493	0	1492	0.0000	0.0000	191	110.1977
1499	0	1498	0.0000	0.0000	190	110.5701
